category	FROM	TO	evidence	source
TF-gene	PARP1	SNCA	Experimental	PMID20584335
TF-gene	NR0B1	STAR	Experimental	PMID20584335
TF-gene	AHR	CYP1A1	Experimental	PMID20584335
TF-gene	AHR	FOS	Experimental	PMID20584335
TF-gene	AHR	HSPB1	Experimental	PMID20584335
TF-gene	AHR	TFF1	Experimental	PMID20584335
TF-gene	APEX1	PTH	Experimental	PMID20584335
TF-gene	AR	KLK3	Experimental	PMID20584335
TF-gene	AR	AR	Experimental	PMID20584335
TF-gene	AR	CDKN1A	Experimental	PMID20584335
TF-gene	AR	F9	Experimental	PMID20584335
TF-gene	AR	LCP1	Experimental	PMID20584335
TF-gene	AR	PIGR	Experimental	PMID20584335
TF-gene	PHOX2A	DBH	Experimental	PMID20584335
TF-gene	PHOX2A	SLC6A2	Experimental	PMID20584335
TF-gene	PHOX2A	SCG2	Experimental	PMID20584335
TF-gene	ARNT	CP	Experimental	PMID20584335
TF-gene	ARNT	EPO	Experimental	PMID20584335
TF-gene	ARNT	FOS	Experimental	PMID20584335
TF-gene	ARNT	GAPDH	Experimental	PMID20584335
TF-gene	ARNT	HES1	Experimental	PMID20584335
TF-gene	ARNT	ID2	Experimental	PMID20584335
TF-gene	ARNT	LEP	Experimental	PMID20584335
TF-gene	ARNT	NOS3	Experimental	PMID20584335
TF-gene	ARNT	FURIN	Experimental	PMID20584335
TF-gene	ARNT	PFKFB3	Experimental	PMID20584335
TF-gene	ARNT	TF	Experimental	PMID20584335
TF-gene	ARNT	VEGFA	Experimental	PMID20584335
TF-gene	ARNT	BACE1	Experimental	PMID20584335
TF-gene	ARNT	APH1A	Experimental	PMID20584335
TF-gene	ARNT	UGT1A6	Experimental	PMID20584335
TF-gene	ARNTL	SERPINE1	Experimental	PMID20584335
TF-gene	ZFHX3	AFP	Experimental	PMID20584335
TF-gene	ZFHX3	ANPEP	Experimental	PMID20584335
TF-gene	ATF1	CCND1	Experimental	PMID20584335
TF-gene	ATF1	BCL2L1	Experimental	PMID20584335
TF-gene	ATF1	BRCA1	Experimental	PMID20584335
TF-gene	ATF1	CCNA2	Experimental	PMID20584335
TF-gene	ATF1	CD1A	Experimental	PMID20584335
TF-gene	ATF1	CYP51A1	Experimental	PMID20584335
TF-gene	ATF1	EGR1	Experimental	PMID20584335
TF-gene	ATF1	ERBB2	Experimental	PMID20584335
TF-gene	ATF1	GSN	Experimental	PMID20584335
TF-gene	ATF1	KIR3DL1	Experimental	PMID20584335
TF-gene	ATF1	LOR	Experimental	PMID20584335
TF-gene	ATF1	CIITA	Experimental	PMID20584335
TF-gene	ATF1	REN	Experimental	PMID20584335
TF-gene	ATF1	SST	Experimental	PMID20584335
TF-gene	ATF1	TEAD1	Experimental	PMID20584335
TF-gene	ATF1	TGFB2	Experimental	PMID20584335
TF-gene	ATF1	SH3RF1	Experimental	PMID20584335
TF-gene	ATF3	ATF3	Experimental	PMID20584335
TF-gene	ATF3	MMP1	Experimental	PMID20584335
TF-gene	ATF3	SELE	Experimental	PMID20584335
TF-gene	ATF3	TP53	Experimental	PMID20584335
TF-gene	ATF3	A4GALT	Experimental	PMID20584335
TF-gene	ATF4	TRA@	Experimental	PMID20584335
TF-gene	BCL6	BCL2L1	Experimental	PMID20584335
TF-gene	BCL6	CCND2	Experimental	PMID20584335
TF-gene	BCL6	TP53	Experimental	PMID20584335
TF-gene	PRDM1	ID3	Experimental	PMID20584335
TF-gene	PRDM1	IFNB1	Experimental	PMID20584335
TF-gene	PRDM1	CIITA	Experimental	PMID20584335
TF-gene	PRDM1	PAX5	Experimental	PMID20584335
TF-gene	PRDM1	SPIB	Experimental	PMID20584335
TF-gene	BRCA1	CDKN1B	Experimental	PMID20584335
TF-gene	BRCA1	TERT	Experimental	PMID20584335
TF-gene	RUNX2	BGLAP	Experimental	PMID20584335
TF-gene	RUNX2	RUNX2	Experimental	PMID20584335
TF-gene	RUNX2	CLC	Experimental	PMID20584335
TF-gene	RUNX2	COL10A1	Experimental	PMID20584335
TF-gene	RUNX2	FGFR2	Experimental	PMID20584335
TF-gene	RUNX2	GNAS	Experimental	PMID20584335
TF-gene	RUNX2	MMP13	Experimental	PMID20584335
TF-gene	RUNX2	TNFRSF11B	Experimental	PMID20584335
TF-gene	RUNX2	TERT	Experimental	PMID20584335
TF-gene	RUNX2	HAND1	Experimental	PMID20584335
TF-gene	RUNX2	SOST	Experimental	PMID20584335
TF-gene	RUNX2	MIER1	Experimental	PMID20584335
TF-gene	RUNX1	BCL2	Experimental	PMID20584335
TF-gene	RUNX1	IL3	Experimental	PMID20584335
TF-gene	RUNX1	PLAU	Experimental	PMID20584335
TF-gene	RUNX1	CCL3	Experimental	PMID20584335
TF-gene	RUNX1	LAT	Experimental	PMID20584335
TF-gene	RUNX1	IL19	Experimental	PMID20584335
TF-gene	RUNX3	KIR2DL3	Experimental	PMID20584335
TF-gene	RUNX3	KIR2DL4	Experimental	PMID20584335
TF-gene	RUNX3	KIR3DL3	Experimental	PMID20584335
TF-gene	CDX1	SI	Experimental	PMID20584335
TF-gene	CDX1	NOX1	Experimental	PMID20584335
TF-gene	CDX2	BCL2	Experimental	PMID20584335
TF-gene	CDX2	GUCY2C	Experimental	PMID20584335
