mirna	specific process
hsa-mir-143	hematopoiesis
hsa-mir-145	hematopoiesis
hsa-mir-378	hematopoiesis
hsa-mir-146a	hematopoiesis
hsa-mir-126	hematopoiesis
hsa-mir-125b	hematopoiesis
hsa-mir-223	hematopoiesis
hsa-mir-142	hematopoiesis
hsa-mir-1	hematopoiesis
hsa-mir-133a	hematopoiesis
hsa-mir-34a	hematopoiesis
hsa-mir-196a	hematopoiesis
hsa-mir-196b	hematopoiesis
hsa-mir-221	hematopoiesis
hsa-mir-222	hematopoiesis
hsa-mir-17	hematopoiesis
hsa-mir-18a	hematopoiesis
hsa-mir-19a	hematopoiesis
hsa-mir-19b	hematopoiesis
hsa-mir-20a	hematopoiesis
hsa-mir-92a	hematopoiesis
hsa-mir-155	hematopoiesis
hsa-mir-150	hematopoiesis
hsa-mir-181a	hematopoiesis
hsa-mir-15a	hematopoiesis
hsa-mir-29c	hematopoiesis
hsa-mir-302	hematopoiesis
hsa-mir-98	hematopoiesis
hsa-mir-29a	hematopoiesis
hsa-let-7a	hematopoiesis
hsa-mir-103	adipocyte differentiation
hsa-mir-143	adipocyte differentiation
hsa-mir-375	adipocyte differentiation
hsa-mir-130a	adipocyte differentiation
hsa-mir-221	adipocyte differentiation
hsa-mir-222	adipocyte differentiation
hsa-mir-448	adipocyte differentiation
hsa-mir-378	adipocyte differentiation
hsa-mir-27a	adipocyte differentiation
hsa-mir-27b	adipocyte differentiation
hsa-mir-204	adipocyte differentiation
hsa-mir-211	adipocyte differentiation
hsa-let-7a	adipocyte differentiation
hsa-let-7b	adipocyte differentiation
hsa-let-7c	adipocyte differentiation
hsa-let-7d	adipocyte differentiation
hsa-let-7e	adipocyte differentiation
hsa-let-7f	adipocyte differentiation
hsa-let-7g	adipocyte differentiation
hsa-let-7h	adipocyte differentiation
hsa-let-7i	adipocyte differentiation
hsa-mir-17	adipocyte differentiation
hsa-mir-18a	adipocyte differentiation
hsa-mir-19a	adipocyte differentiation
hsa-mir-19b	adipocyte differentiation
hsa-mir-20a	adipocyte differentiation
hsa-mir-92a	adipocyte differentiation
hsa-mir-132	circadian clock
hsa-mir-219	circadian clock
hsa-mir-182	circadian clock
hsa-mir-183	circadian clock
hsa-mir-96	circadian clock
hsa-mir-122	circadian clock
hsa-mir-192	circadian clock
hsa-mir-194	circadian clock
hsa-mir-191	circadian clock
hsa-mir-181d	circadian clock
hsa-mir-143	smooth muscle cell fate
hsa-mir-145	smooth muscle cell fate
hsa-mir-122	carbohydrate metabolism
hsa-mir-451	carbohydrate metabolism
hsa-mir-27	carbohydrate metabolism
hsa-mir-200a	carbohydrate metabolism
hsa-mir-200b	carbohydrate metabolism
hsa-mir-429	carbohydrate metabolism
hsa-mir-21	carbohydrate metabolism
hsa-mir-16	cell death
hsa-mir-184	cell death
hsa-mir-205	cell death
hsa-mir-125b	cell death
hsa-mir-129	cell death
hsa-mir-1	cell death
hsa-mir-206	cell death
hsa-mir-513	cell death
hsa-mir-7	cell death
hsa-mir-143	cell death
hsa-mir-145	cell death
hsa-mir-155	cell death
hsa-mir-1226	cell death
hsa-mir-130b	cell death
hsa-mir-146a	cell death
hsa-mir-14	cell death
hsa-mir-212	cell death
hsa-mir-380	cell death
hsa-mir-497	cell death
hsa-mir-494	cell death
hsa-mir-21	cell death
hsa-mir-181b	cell death
hsa-mir-34a	cell death
hsa-mir-182	cell death
hsa-mir-183	cell death
hsa-mir-128	cell death
hsa-mir-630	cell death
hsa-mir-221	cell death
hsa-mir-222	cell death
hsa-mir-210	cell death
hsa-mir-203	cell death
hsa-mir-10b	cell death
hsa-mir-23b	cell death
hsa-mir-885	cell death
hsa-mir-181a	cell death
hsa-mir-886	cell death
hsa-let-7a	cell death
hsa-let-7b	cell death
hsa-let-7c	cell death
hsa-let-7d	cell death
hsa-let-7e	cell death
hsa-let-7f	cell death
hsa-let-7g	cell death
hsa-let-7h	cell death
hsa-let-7i	cell death
hsa-mir-98	cell death
hsa-mir-376c	cell death
hsa-mir-17	cell death
hsa-mir-18a	cell death
hsa-mir-19a	cell death
hsa-mir-19b	cell death
hsa-mir-20a	cell death
hsa-mir-92a	cell death
hsa-mir-25	cell death
hsa-mir-30d	cell death
hsa-mir-15a	cell division
hsa-mir-107	cell division
hsa-mir-124	cell division
hsa-mir-519	cell division
hsa-mir-16	cell division
hsa-mir-34a	cell division
