mirna	specific process
mmu-mir-143	lipid metabolism
mmu-mir-107	lipid metabolism
mmu-mir-34a	lipid metabolism
mmu-mir-181d	lipid metabolism
mmu-mir-10b	lipid metabolism
mmu-mir-103	brain development
mmu-mir-124a	brain development
mmu-mir-124b	brain development
mmu-mir-135	brain development
mmu-mir-323	brain development
mmu-mir-156	brain development
mmu-mir-218	brain development
mmu-mir-326	brain development
mmu-mir-329	brain development
mmu-mir-344	brain development
mmu-mir-192	brain development
mmu-mir-17	brain development
mmu-mir-18a	brain development
mmu-mir-29c	brain development
mmu-mir-106a	brain development
mmu-mir-106b	brain development
mmu-mir-135a	brain development
mmu-mir-221	brain development
mmu-mir-222	brain development
mmu-mir-134	brain development
mmu-mir-184	brain development
mmu-mir-9	brain development
mmu-mir-20a	brain development
mmu-mir-128	brain development
mmu-mir-133b	brain development
mmu-mir-103	hematopoiesis
mmu-mir-143	hematopoiesis
mmu-mir-145	hematopoiesis
mmu-mir-378	hematopoiesis
mmu-mir-146a	hematopoiesis
mmu-mir-126	hematopoiesis
mmu-mir-125b	hematopoiesis
mmu-mir-223	hematopoiesis
mmu-mir-142	hematopoiesis
mmu-mir-1	hematopoiesis
mmu-mir-133a	hematopoiesis
mmu-mir-34a	hematopoiesis
mmu-mir-196a	hematopoiesis
mmu-mir-196b	hematopoiesis
mmu-mir-221	hematopoiesis
mmu-mir-222	hematopoiesis
mmu-mir-17	hematopoiesis
mmu-mir-18a	hematopoiesis
mmu-mir-19a	hematopoiesis
mmu-mir-19b	hematopoiesis
mmu-mir-20a	hematopoiesis
mmu-mir-92a	hematopoiesis
mmu-mir-155	hematopoiesis
mmu-mir-150	hematopoiesis
mmu-mir-181a	hematopoiesis
mmu-mir-15a	hematopoiesis
mmu-mir-29c	hematopoiesis
mmu-mir-302	hematopoiesis
mmu-mir-98	hematopoiesis
mmu-mir-29a	hematopoiesis
mmu-let-7a	hematopoiesis
mmu-mir-103	adipocyte differentiation
mmu-mir-143	adipocyte differentiation
mmu-mir-375	adipocyte differentiation
mmu-mir-130a	adipocyte differentiation
mmu-mir-221	adipocyte differentiation
mmu-mir-222	adipocyte differentiation
mmu-mir-448	adipocyte differentiation
mmu-mir-378	adipocyte differentiation
mmu-mir-27a	adipocyte differentiation
mmu-mir-27b	adipocyte differentiation
mmu-mir-204	adipocyte differentiation
mmu-mir-211	adipocyte differentiation
mmu-let-7a	adipocyte differentiation
mmu-let-7b	adipocyte differentiation
mmu-let-7c	adipocyte differentiation
mmu-let-7d	adipocyte differentiation
mmu-let-7e	adipocyte differentiation
mmu-let-7f	adipocyte differentiation
mmu-let-7g	adipocyte differentiation
mmu-let-7h	adipocyte differentiation
mmu-let-7i	adipocyte differentiation
mmu-mir-17	adipocyte differentiation
mmu-mir-18a	adipocyte differentiation
mmu-mir-19a	adipocyte differentiation
mmu-mir-19b	adipocyte differentiation
mmu-mir-20a	adipocyte differentiation
mmu-mir-92a	adipocyte differentiation
mmu-mir-132	circadian clock
mmu-mir-219	circadian clock
mmu-mir-182	circadian clock
mmu-mir-183	circadian clock
mmu-mir-96	circadian clock
mmu-mir-122	circadian clock
mmu-mir-192	circadian clock
mmu-mir-194	circadian clock
mmu-mir-191	circadian clock
mmu-mir-181d	circadian clock
mmu-mir-143	smooth muscle cell fate
